index,localx,gap,realv,fid
14,585,158,7,6
14,592,159,7,7
14,599,159.5,5,8
14,604,162.5,7,9
14,611,163.5,7,10
14,618,164,7,11
14,625,165,7,12
14,632,167.5,7,13
14,639,168.5,7,14
14,646,169,8,15
14,654,170,7,16
14,661,172.5,8,17
14,669,171.5,7,18
14,676,172.5,9,19
14,685,174,5,20
14,690,175.5,7,21
14,697,177,8,22
14,705,178,6,23
14,711,180,8,24
14,719,181,7,25
14,726,182,7,26
14,733,183,8,27
15,315,241,7,6
15,322,242,6,7
15,328,243,5,8
15,333,241,7,9
15,340,241,6,10
15,346,242.5,6,11
15,352,243.5,6,12
15,358,243.5,6,13
15,364,244.5,6,14
15,370,245.5,7,15
15,377,246.5,6,16
15,383,247.5,6,17
15,389,249,6,18
15,395,250,6,19
15,401,255,5,20
15,406,255.5,6,21
15,412,256.5,8,22
15,420,256,6,23
15,426,255.5,5,24
15,431,260,7,25
15,438,257.5,7,26
15,445,258.5,6,27
15,451,260,5,28
15,456,261,7,29
15,463,262,5,30
15,468,263.5,6,31
15,474,264,6,32
15,480,267.5,6,33
15,486,269,8,34
15,494,267,5,35
15,499,268,5,36
15,504,270.5,8,37
15,512,270,5,38
15,517,272,7,39
15,524,273,4,40
15,528,276,10,41
15,538,275,5,42
15,543,275.5,5,43
15,548,279.5,7,44
15,555,278.5,5,45
15,560,283,6,46
15,566,281.5,5,47
15,571,285,9,48
15,580,286.5,6,49
15,586,287.5,4,50
15,590,290,6,51
15,596,291.5,7,52
15,603,292,5,53
15,608,295.5,7,54
15,615,297,6,55
15,621,298.5,6,56
168,398,417.5,5,67
168,403,421.5,9,68
168,412,420,10,69
168,422,421.5,8,70
168,430,422,8,71
168,438,420,8,72
168,446,421.5,10,73
168,456,421,9,74
168,465,421.5,9,75
168,474,421,8,76
168,482,421,9,77
168,491,422,9,78
168,500,421,10,79
187,11,45.5,4,74
187,15,44.5,3,75
187,18,45,4,76
187,22,44,8,77
187,30,43,7,78
187,37,43,8,79
187,45,42,7,80
187,52,42.5,9,81
187,61,37.5,8,82
187,69,35.5,4,83
187,73,40.5,7,84
187,80,39.5,5,85
187,85,41,8,86
187,93,38.5,7,87
187,100,37.5,6,88
187,106,38,7,89
187,113,38,8,90
187,121,36.5,6,91
187,127,36.5,7,92
187,134,36,5,93
187,139,36.5,8,94
187,147,35,5,95
187,152,35,8,96
187,160,34,6,97
187,166,34,6,98
187,172,34,6,99
187,178,35,6,100
187,184,35,6,101
187,190,34.5,5,102
187,195,34,7,103
187,202,34,6,104
187,208,34,5,105
187,213,34,6,106
187,219,36,8,107
187,227,33,6,108
187,233,33,5,109
187,238,33,6,110
187,244,33,6,111
187,250,35.5,4,112
187,254,36,8,113
187,262,33,6,114
187,268,35,5,115
187,273,36.5,6,116
187,279,34.5,4,117
187,283,41.5,7,118
187,290,35.5,6,119
187,296,33,4,120
187,300,34.5,6,121
187,306,35,6,122
187,312,38,6,123
187,318,36.5,2,124
220,686,103.5,0,86
220,686,104,5,87
220,691,105,9,88
220,700,103,6,89
220,706,102,9,90
220,715,102,7,91
220,722,101,6,92
220,728,102.5,6,93
220,734,101,7,94
220,741,101,9,95
220,750,100.5,7,96
220,757,98.5,7,97
220,764,97.5,7,98
220,771,98,7,99
220,778,98,8,100
220,786,97,8,101
243,186,434,8,95
243,194,432.5,9,96
243,203,432.5,9,97
243,222,430.5,9,99
243,231,430.5,9,100
243,240,431.5,9,101
243,249,431,10,102
243,259,429.5,9,103
243,268,429.5,9,104
243,286,430.5,10,106
243,296,430.5,9,107
243,305,429.5,9,108
356,222,92,1,136
356,223,98,6,137
356,217,103,6,138
356,223,104.5,7,139
356,230,100.5,6,140
356,236,100,7,141
356,243,98,7,142
356,250,97,6,143
356,256,96,7,144
356,263,95,6,145
356,269,93.5,7,146
356,276,92.5,7,147
356,283,91,6,148
356,289,90.5,6,149
356,295,94.5,7,150
356,302,89,6,151
356,308,87,6,152
356,314,87.5,0,153
356,314,86,8,154
356,322,86.5,8,155
356,330,83.5,7,156
356,337,83,8,157
356,345,82.5,6,158
356,351,81.5,6,159
356,357,82.5,6,160
356,363,84,5,161
356,368,82.5,6,162
356,374,81,6,163
356,380,81,6,164
356,386,82,6,165
356,392,79.5,5,166
356,397,81.5,6,167
356,403,81,4,168
356,407,81,7,169
356,414,81,4,170
356,418,84.5,7,171
356,425,81,5,172
356,430,83,5,173
356,435,83,6,174
356,441,82,5,175
356,446,83.5,1,176
356,447,81.5,1,177
361,151,212.5,9,137
361,160,209,8,138
361,168,208,9,139
361,177,206,8,140
361,185,206,10,141
361,195,200,10,142
361,205,195.5,8,143
361,213,191,10,144
361,223,190.5,9,145
361,232,186,10,146
361,242,182,9,147
361,251,179,9,148
361,260,174,9,149
361,269,171,8,150
361,277,169.5,8,151
392,7,226,3,148
392,10,229,4,149
392,14,230.5,4,150
392,18,231.5,7,151
392,25,233.5,7,152
392,32,235.5,7,153
392,39,239,8,154
392,47,242,7,155
392,54,242,7,156
392,61,243.5,6,157
392,67,247.5,7,158
392,74,253,7,159
392,81,253.5,7,160
392,88,258,8,161
392,96,257,7,162
392,103,259.5,7,163
392,110,262,7,164
392,117,264.5,6,165
392,123,267,7,166
392,130,269.5,6,167
392,136,272,6,168
392,142,274.5,7,169
392,149,279,8,170
392,157,278.5,1,171
392,158,281,1,172
394,590,86.5,9,150
394,599,82.5,10,151
394,609,79,10,152
394,619,86.5,9,153
394,628,86.5,7,154
394,635,88,10,155
394,645,87.5,10,156
394,655,88.5,10,157
394,665,89.5,10,158
394,685,98.5,10,160
